id,item_id,name,topic,statute,statute_ids,summary,requirements,category,jurisdiction,is_applicable,origination_date,effective_date,last_updated,last_verified,next_review_date,filing_deadlines,reporting_frequency,agency_url,agency_name,agency_contact,agency_department,regulation_url,requirements_url,submission_guide_url,forms_url,submission_guidelines,regulation_text,applicable_forms,related_regulations,compliance_notes,verification_method,notification_schedule,sources,version_number,previous_version_id,version_date,change_summary,is_current,version_metadata,state_code,state_agency,actions,dro,notification_override,sections
4461,REG1982,Higher Education Act: Institutional and Financial Assistance Information for Students,Academic Programs,20 U.S.C. 1092,1605,"Among other things, requires the following annual disclosures to enrolled and prospective students:
f) diversity statistics;
g) retention rates;
h) employment placement data; and
i) fire safety report.
c) transfer of credit policies;

Additional Information:
Among other things, requires the following annual disclosures to enrolled and prospective students:
f) diversity statistics;
g) retention rates;
h) employment placement data; and
i) fire safety report.
c) transfer of credit policies;","No deadline is mandated, but October 1 annually is suggested.

Additional Requirements:
No deadline is mandated, but October 1 annually is suggested.",Academic Programs,federal,t,,,2025-03-06 14:29:46.035,,,,"No deadline is mandated, but October 1 annually is suggested.",https://www.ed.gov,Department of Education,"","","","","","","No deadline is mandated, but October 1 annually is suggested.","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4755,REG-1741205494332,Regulation ID OSHA-2024-001,Workplace Safety Standards,Referenced under the Occupational Safety and Health Act of 1970,"","This regulation, OSHA-2024-001, is a proposal to enhance workplace safety standards across various industries. It aims to update existing safety protocols and introduce new measures to ensure that workplaces are safe and conducive for all employees, focusing on reducing workplace hazards and preventing work-related injuries and illnesses.","Key requirements include mandatory risk assessments for job roles, implementation of more rigorous safety training programs, updated safety gear compliance standards, and regular safety audits conducted by certified inspectors. Employers must submit safety compliance reports semi-annually.",Workplace Safety,federal,t,,,2025-03-05 20:11:34.332,2025-03-05 20:11:34.332,2026-03-05 20:11:34.332,,"",https://www.osha.gov,Occupational Safety and Health Administration,"",U.S. Department of Labor,"","","","",,"",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4852,PA-paDeptEd-1741813212673,Untitled Regulation,Higher Education,"",,"RESOURCES ON COVID-19 (CORONAVIRUS) IN PENNSYLVANIA FOR SACC Announcement from Thursday, August 26, 2020
Non-Licensed Part-Day School Age Child Care Program or Learning Pod Notification of Operation (PDF)
Notification of Operation as Non-Licensed School Age Provider form (PDF)
Information and Resources for Families Searching for School-Age Child Care Programs During COVID-19
Families Who Need School-Aged Child Care During COVID-19 (PDF)
Resources for Child Care and Education of School-Age Childr","RESOURCES ON COVID-19 (CORONAVIRUS) IN PENNSYLVANIA FOR SACC Announcement from Thursday, August 26, 2020
Non-Licensed Part-Day School Age Child Care Program or Learning Pod Notification of Operation (PDF)
Notification of Operation as Non-Licensed School Age Provider form (PDF)
Information and Resources for Families Searching for School-Age Child Care Programs During COVID-19
Families Who Need School-Aged Child Care During COVID-19 (PDF)
Resources for Child Care and Education of School-Age Children due to COVID-19 (PDF)
More Family Resources on PA’s Promise for Children
Information and Resources for School-Age Child Care Programs for the 2020-21 School Year
Licensed school-age child care (SACC) programs should be prepared to support students when local schools move to remote or blended learning throughout the 2020-21 school year due to the pandemic. Below are considerations for school-age programs regarding what schools and families may be expecting from SACC programs this school year.
Guidance for non-licensed community-based entities planning to care for or supervise school-age children during the 2020-2021 school year is available in this August 26 announcement (link coming soon).
Have Wi-Fi available for students so they can complete online school work within the facility. Ensure there is enough bandwidth and internet speed to allow for all children to engage in online learning.
Have staff in school-age classrooms who are comfortable with technology to facilitate and support online learning.
Establish policies for children to bring and use technology in your facility (ex. laptops, iPads).
Partner with families and share how you can support their child’s remote learning in your facility.
Program staff should understand which academic activities are required, which are optional, and which have specific timing (such as for live-stream content) or equipment needs, and then build daily and weekly schedules to coordinate the students’ engagement with online learning or printed educational materials.
Decide how you will group children and what spaces will be used for children who will be at your facility only 2-3 days per week due to their public, private or religious school implementing blended instruction.
To minimize the spread of the disease, classes should include the same group of children and staff each day.
Provide developmentally appropriate recreation and physical activities while maintaining distance between students and staff, as well as a balance of quiet and active periods and remote learning. Background noise should be kept to a minimum when students are online or engaged in other forms of remote learning.
As public conversations around COVID-19 increase, children may worry about themselves, their family, and friends getting ill. Staff play an important role in helping children make sense of what they hear in a way that is honest, accurate, and minimizes anxiety or fear. The CDC has created guidance to help adults talk to children about COVID-19 and ways they can avoid getting and spreading the disease.
Children may have additional special needs that are not typically or easily addressed in a school-age setting, and providers may need to build partnerships with other community organizations to meet the needs of every child. There will need to be flexibility and significant communication on all sides to promote what is best for each student.
Public schools post their Health and Safety plans, which includes the types of instructional models they will be using, to their websites. However, due to the evolving pandemic, plans may change weekly. If you would like more information regarding changing policies, schedules, or opportunities to coordinate support for school-age children, contact schools directly and ask to speak with the Pandemic Coordinator. Links to the Health and Safety Plans submitted by public schools to the Pennsylvania Department of Education (PDE) are accessible through the PDE Health and Safety Plan Map.
Resources for School-Age Child Care Programs
Distance Learning Resources from The Early Childhood Learning and Knowledge Center: This resource provides students and staff information about distance learning from both student and staff perspectives.
Virtual Learning Guidance for Pre-K to Grade 3: This resource provides guidance for online learning for children Pre-K to Grade 3. It also provides online resources that support children’s learning.
Summary of National Response to COVID-19 and Continuity of Education for Early Years: This resource is a compilation of national resources that can support children’s learning within the different learning domains. This resource is focused on Pre-K to Grade 3.
Pennsylvania Key School Age Resources: The Pennsylvania Key provides resources to help support school age care programs.
Promoting Positive Learning Climates Online and at Home: The Pennsylvania Department of Education has compiled resources educators and parents can use to maintain a positive learning climate while students are physically separated from their teachers and classmates due to the COVID-19 school closures. The resource list is organized by the three elements of a positive learning climate: safety, support, and social and emotional learning.
Pennsylvania’s Learning Standards for Early Childhood: The standards are research-based according to age and development, and form the foundation for curriculum, assessment, instruction, and intervention within early care and education programs. The supportive practices within each learning standard may be relevant for staff providing care and education to students.
Additional School-Age Resources
The Pennsylvania Key
Environments, Relationships, Experiences
Building Resiliency
Guidance for Interaction with School-Age Children
Linkage between Building Resiliency and Student Outcomes
Resiliency Assessment for School-Age Children
Supervision Before and After School
Afterschool Alliance
COVID-19
Partnering with Schools to Re-Open
Stating The 5 Needs to Support Schools
“Tools to Build On: Creating constructive climates in out-of-school time” is a webinar series that covers how to bring out and build up supportive climates in afterschool and summer learning programs.
Center for Disease Control (CDC)
Adolescent Connectedness
Helping Children Cope
Planning for Virtual or In-Home Learning Checklist
Center on Positive Behavioral Intervention Services (PBIS) – Creating a Behavior Teaching Matrix for Remote Instruction
Center for Youth Wellness – Taking Care of You and Your Family: A Caregiver’s Toolkit
Collaborative for Academic, Social and Emotional Learning (CASEL) – Social Emotional Learning (SEL) Road Map for Re-opening School
Edutopia – What makes a successful tutor?
Institute of Education Sciences
Developmentally Appropriate Ways to Use Technology and Media with Young Children
Promoting a Safe and Secure Digital Learning Environment
Transitioning to Remote Learning
National AfterSchool Association
A Facilitators Guide to remote and socially distanced SEL Instruction in out of School Time
Code of Ethics for After School Professionals
Let’s Get Physical, But How?
Preventing and Preparing for COVID-19
Standards for Healthy Eating and Physical Activity in Out- Of-School Time
National Center for Quality Afterschool (SEDL)
Afterschool Training Toolkit
Building and Managing Afterschool Programs
Pennsylvania Department of Education (PDE): Standards Aligned System (SAS) – Online Resources for Instruction including COVID-19 and teaching remotely
Pennsylvania Statewide Afterschool Youth Development Network – Video: The Importance of Social Emotional Learning with the Reopening of Afterschool Programs
Search Institute – Checklist Building Developmental Relationships During the COVID-19 Crisis
U.S. Department of Agriculture: Food and Nutrition Services – Find Meals When School Is Closed
U.S. Department of Education
Helping Your Child Series
Using Educational Technology – 21st Century Supports for English Learners",Academic Programs,state,t,,,2025-03-13 22:32:48.369,2025-03-12 21:16:57.011,,,,https://www.education.pa.gov/Teachers%20-%20Administrators/School%20Services/Pages/default.aspx,paDeptEd,,paDeptEd,https://www.pakeys.org/sacc-coronavirus-resources/,,,,,,,,,,,"[{""url"": ""https://www.pakeys.org/sacc-coronavirus-resources/"", ""type"": ""web-scrape"", ""lastChecked"": ""2025-03-12T21:16:57.011Z""}]",2,4852,2025-03-12 21:00:12.561558,,t,,PA,paDeptEd,"[{""type"": ""attestation"", ""status"": ""completed"", ""enabled"": true, ""required"": true}, {""type"": ""website_publish"", ""status"": ""in_progress"", ""enabled"": true, ""required"": true}, {""type"": ""community_communication"", ""status"": ""in_progress"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4850,PA-paDeptEd-1741813075521,default,Higher Education,"",,"School Guidance and Resources
Office of Elementary and Secondary Education (OESE) Annual Calendar
Office of Elementary and Secondary Education (OESE) Contacts
School Services Office
The School Services Office serves as a central point of inquiry for advice and assistance to school administrators regarding school law, regulations, and related programs, services, and policies. The office also responds to parent inquiries and handles student enrollment complaints.
Topics we frequently address in ad","School Guidance and Resources
Office of Elementary and Secondary Education (OESE) Annual Calendar
Office of Elementary and Secondary Education (OESE) Contacts
School Services Office
The School Services Office serves as a central point of inquiry for advice and assistance to school administrators regarding school law, regulations, and related programs, services, and policies. The office also responds to parent inquiries and handles student enrollment complaints.
Topics we frequently address in addition to those that appear below include: non-weather related emergency school closings, grievance procedures, teacher work stoppages, ward of state determination, Commissions (for superintendents, assistants, and IU executive directors), compulsory attendance, and truancy elimination.
Allegations of Curriculum Deficiencies
Clearances/Background Checks
Child Labor Law
Flexible Instructional Days (FID)
Home Education and Private Tutoring
Homebound Instruction
Interscholastic Athletic Opportunity Disclosure
Opportunity Scholarship Tax Credit Program (OSTCP)
School Reconfigurations
Basic Education Circulars (BECs)
Enrollment of Students
Instructional Time
Military Access to Secondary Students
All BECs Listing
Contact Us
Background Checks: 717-783-3750 or ra-PDE-SchoolService@pa.gov
All other questions: 717-787-4860
COVID-19 Resources for School Communities
Coronavirus (COVID-19) mitigation ​efforts have required school communities to work within changing, complex circumstances and unprecedented situations. The Pennsylvania Department of Education is committed to offering guidance and resources to support and help protect school communities during this pandemic.
COVID-19 Inquiry Contact
Resources for Pre-K to 12 Schools
Roadmap for Education Leaders
Accelerated Learning
School Age Child Care Programs
Health and Safety Plans
State Mandated Training Timeline
Resources for Postsecondary and Adult Education
Access a list of county an​d municipal health department websites in Pennsylvania, compiled and housed on the Pennsylvania Department of Health's website.
COVID-19 Vaccine Challenge
Governor's Emergency Education Relief Funds (GEER)
Information on the distribution of Governor's Emergency Education Relief (GEER) Funds to schools in Pennsylvania during COVID-19.
Learn more about GEER Funds
Elementary and Secondary School Emergency Relief (ESSER) Funds
Information on the distribution of Elementary and Secondary School Emergency Relief (ESSER) Funds to schools in Pennsylvania during COVID-19.
More information about ESSER Funding",Student Life,state,t,,,2025-03-24 21:55:31.9,2025-03-12 21:16:50.304,,,,https://www.education.pa.gov/Teachers%20-%20Administrators/School%20Services/Pages/default.aspx,paDeptEd,,paDeptEd,https://www.education.pa.gov/Teachers%20-%20Administrators/School%20Services/Pages/default.aspx,,,,,,,,,,,"[{""url"": ""https://www.education.pa.gov/Teachers%20-%20Administrators/School%20Services/Pages/default.aspx"", ""type"": ""web-scrape"", ""lastChecked"": ""2025-03-12T21:16:50.304Z""}]",3,4850,2025-03-12 20:57:55.409354,,t,,PA,paDeptEd,"[{""type"": ""attestation"", ""status"": ""completed"", ""enabled"": true, ""required"": true, ""completedAt"": ""2025-03-21T14:11:26.816Z"", ""completedBy"": {""userId"": 6, ""fullName"": ""David Brandes"", ""username"": ""dvdbrnds""}, ""completedDate"": ""2025-03-21T14:11:26.816Z""}, {""type"": ""website_publish"", ""status"": ""completed"", ""enabled"": true, ""required"": true}, {""type"": ""community_communication"", ""status"": ""in_progress"", ""enabled"": true, ""required"": true}, {""type"": ""agency_submission"", ""status"": ""in_progress"", ""enabled"": true, ""required"": false}]","",,
4479,REG3216,Tax Cuts and Jobs Act of 2017 (endowment excise tax),Accounting,"","","Imposes a 1.4 percent excise tax on the net investment income of private institutions that:

 	Have at least 500 students

 	Have more than 50% of students located in the U.S.

 	Have assets valued at the close of the preceding tax year of at least $500,000 per full-time student.","",Finance,federal,t,,,2018-10-17 00:00:00,,,,"","",,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4487,REG1800,Higher Education Act: Readmission Requirements for Servicemembers,Admissions,20 U.S.C. § 1091c,3962,"Requires that the University readmit students who left in order to join the military. The student must be readmitted in the same academic status. Generally, the length of absence cannot be greater than five (5) years. Exceptions to this law include those veterans receiving a dishonorable discharge or bad conduct charge, those who were court marshaled, and those who the University is reasonably unable to prepare to resume or complete their program.","",Academic Programs,federal,t,,,2014-01-24 00:00:00,,,,"",https://www.ed.gov,Department of Education,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4756,REG-1741205499383,EDU-2024-001 Regulation,Higher Education Financial Assistance,20 U.S.C. § 1070 et seq.,"","This regulation aims to update and improve the administration of federal financial aid programs for higher education institutions. It establishes clearer guidelines for eligibility, application processes, and the distribution of financial aid to enhance accessibility and transparency for students and families.","Key requirements include the need for institutions to report financial aid distribution data, ensure compliance with Title IV eligibility criteria, and maintain comprehensive records of student aid applications and disbursements. Institutions must also provide annual training for staff handling financial aid to ensure compliance with the updated regulations.",Financial Aid Administration,federal,t,,,2025-03-05 20:11:39.383,2025-03-05 20:11:39.383,2026-03-05 20:11:39.383,,"",https://www.ed.gov,U.S. Department of Education,"",Office of Federal Student Aid,"","","","",,"",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4775,REG-1741273099760,Family Educational Rights and Privacy Act (FERPA) 2024 Update,Education Rights,20 U.S.C. § 1232g,"","The FERPA 2024 Update is a revision of the original FERPA regulations, aiming to further protect the privacy of student education records. It provides guidelines for educational institutions, both schools and colleges, on the disclosure of student information. It also allows students and parents to access their education records and request corrections if necessary.","Educational institutions are required to comply by protecting student education records, limiting disclosure without consent, and providing students and parents access to their own records. Institutions must have a written policy regarding the sharing and protection of student records. They must also provide training to staff on privacy and data protection.",Student Services,federal,t,,,2025-03-06 14:58:19.76,2025-03-06 14:58:19.76,2026-03-06 14:58:19.76,,"",https://www.ed.gov/,U.S. Department of Education,"",Office for Civil Rights (OCR),"","","","",,"",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4510,REG1981,Davis-Bacon Act,Contracts & Procurement,"40 U.S.C. §§ 3141- 3144, 3146, 3147",1688,"All laborers and mechanics employed by contractors or subcontractors to work on construction contracts in excess of $2,000 financed by federal assistance funds must be paid wages not less than those established for the locality of the project (prevailing wage rates) by the Department of Labor. In construction contracts subject to the Davis-Bacon Act, institutions must include a provision requiring that the contractor or subcontractor comply with the requirements of the Act and applicable regulations.

Additional Information:
All laborers and mechanics employed by contractors or subcontractors to work on construction contracts in excess of $2,000 financed by federal assistance funds must be paid wages not less than those established for the locality of the project (prevailing wage rates) by the Department of Labor. In construction contracts subject to the Davis-Bacon Act, institutions must include a provision requiring that the contractor or subcontractor comply with the requirements of the Act and applicable regulations.",No specific requirements provided,Finance,federal,t,,,2025-03-06 14:29:58.71,,,,"",,,"","","","","","","","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
4520,REG1820,Higher Education Act: Institutional and financial assistance information for students,Copyright & Trademark,20 U.S.C. § 1092(a)(1)(P),"3368,1742",Requires the following disclosures to enrolled students: (a) Policies/sanctions for copyright infringement; and (b) annual disclosure detailing federal copyright penalties.,"No deadline is mandated, but September 1 is suggested.",Academic Programs,federal,t,,,2018-12-17 00:00:00,,,,"No deadline is mandated, but September 1 is suggested.",https://www.ed.gov,Department of Education,"","","","","","","No deadline is mandated, but September 1 is suggested.","",,,"","",,,1,,2025-03-07 15:21:09.709673,,t,,,,"[{""type"": ""attestation"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""website_publish"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""community_communication"", ""status"": ""pending"", ""enabled"": true, ""required"": false}, {""type"": ""agency_submission"", ""status"": ""pending"", ""enabled"": true, ""required"": false}]","",,
