id,reg_key,item_id,name,jurisdiction_source,category,is_current,version,version_hash,state_code,content_hash
23,REG-237,age-discrimination-act-of-1975,Age Discrimination Act of 1975,federal,Diversity/Affirmative Action,t,6,473ead4af84936dd43152f299cba8be84c8f4406b010e6a61e213650912bb19d,,
25,REG-214,higher-education-act-institutional-and-financial-a,Higher Education Act: Institutional and financial assistance information for students,federal,Copyright & Trademark,t,8,8027c0f4b84a02850f3e77e40d5e8eec98a95e5e0a3870699638be2343159bc4,,
26,REG-251,higher-education-act-textbook-information,Higher Education Act: Textbook Information,federal,Academic Programs,t,3,d764aed730fd813bed39eac9e3c249c46de5776578c63de03b002c76347c7a98,,
27,REG-138,higher-education-opportunity-act-sections-152-and-,Higher Education Opportunity Act Sections 152 and 153,federal,Academic Programs,t,3,b760e62d09b26a6fa0306a9703791edf8645a39aac0648862d9971688ed4001a,,
28,REG-018,section-504-of-the-rehabilitation-act-of-1973,Section 504 of The Rehabilitation Act of 1973,federal,Uncategorized,t,8,3bc40b10743fe14378d985058a7a203753928c9b096bf22a61d6d0323c38da53,,b1b71a067fadebb54c01d56f7706c7c6ef221767371d1b0d5a17371aaae2cca4
30,REG-008,title-vi-of-the-civil-rights-act-of-1964,Title VI of the Civil Rights Act of 1964,federal,Admissions,t,5,bf5b98020569781e5d3dad0a2ebe037ac9b9856960aeea39b61d568123f0d218,,
31,REG-069,teacher-preparation-programs,Teacher Preparation Programs,federal,Uncategorized,t,4,5b89d7afcd35098df3ff798686ebb571b4c6d760eb73bc1fc7854062b4b0b6a6,,16b34ce8c91fe855a5b29c13d72df875b5972591206438469b48abfc69f8d029
32,REG-149,bankruptcy-abuse-prevention-consumer-protection-ac,Bankruptcy Abuse Prevention & Consumer Protection Act of 2005,federal,Accounting,t,3,cab26a657943ae7b80cba0d317329f9c81a5fa9069679aa5fd0bbafbf934134f,,
33,REG-150,clayton-antitrust-act-of-1914,Clayton Antitrust Act of 1914,federal,Accounting,t,3,4de65b52f59f991773cc256f9fa519145086d06c917a6748a0ec98d5d1858949,,
34,REG-210,fair-credit-reporting-act-fcra,Fair Credit Reporting Act (FCRA),federal,Recruitment Hiring & Termination,t,4,5ac0fb9e423e6588d79ec94dd9dcc333eef0be2877ced1544fb273a47b03963f,,
35,REG-175,federal-insurance-contributions-act-fica,Federal Insurance Contributions Act (FICA),federal,Wages,t,4,7a7577e783f733ddb0412a0b2054a4baedfc7afff8813d719d8ba0cf530a4565,,
36,REG-151,federal-unemployment-tax-act-futa,Federal Unemployment Tax Act (FUTA),federal,Accounting,t,3,7c17c21b385c1f612e1f817732317c4476a92220945a3355836a55904509b0c1,,
37,REG-152,higher-education-act-disclosure-of-foreign-gifts,Higher Education Act – Disclosure of Foreign Gifts,federal,Accounting,t,3,30126603a61d4923eb9671e7c84f8f0a459763afa0d159ac65da19cd99099854,,
38,REG-192,qualified-tuition-and-student-loan-interest-report,Qualified Tuition and Student Loan Interest Reporting,federal,Tax,t,5,a281473191a8ead08b493898c7cf4eab28108e3192cfda0d9dbf8d84ef0d6e7e,,
39,REG-155,regulation-e-electronic-fund-transfers,Regulation E: Electronic Fund Transfers,federal,Accounting,t,3,7f5abe203438ca2435cc624e03252b4ad770011ba39f9ea19f900b406bdafda5,,
40,REG-156,sarbanes-oxley-act-of-2002-sox,Sarbanes Oxley Act of 2002 (SOX),federal,Accounting,t,3,b3831811885618b207efeed68baf8f1df1bb7094aff443e2b1a0330ded7bb39b,,
41,REG-157,sherman-antitrust-act,Sherman Antitrust Act,federal,Accounting,t,3,e7f66a2a3f8ee180dba3c395e8ee09a36c3cedd6c6df79a0753e7a282bc11498,,
42,REG-158,social-security-act,Social Security Act,federal,Accounting,t,3,ca7c28b2ab4d710e60576e614ba9dc775bc07bef45a222749c350e355b36d46e,,
43,REG-160,tax-cuts-and-jobs-act-of-2017-endowment-excise-tax,Tax Cuts and Jobs Act of 2017 (endowment excise tax),federal,Accounting,t,4,a9ec58365fba16beb5cece030e677a70937440e1af1051c4cf506912dcd52df7,,
44,REG-161,truth-in-lending-act,Truth in Lending Act,federal,Accounting,t,3,fa5c6d3b825be711d55c0b535005c74dc7dc3481e30cc45f9e44ccdd8d015f95,,
45,REG-162,uniform-administrative-requirements-cost-principle,"Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance, Super Circular, or Omni Circular)",federal,Accounting,t,3,f1c3e313fc8de35dd401402b18ef9842b412a53ee0bbe210d2242ebfd41dda42,,
46,REG-163,unrelated-business-income-tax-ubit,Unrelated Business Income Tax (UBIT),federal,Accounting,t,3,b80dc861dc428bb9b4b130d0aa169a1160953f2c14957361203f6b1048c66388,,
48,REG-012,higher-education-act-recognition-of-accrediting-ag,PA Act 36 of 1990 - English Fluency in Higher Ed,state,Uncategorized,t,4,343c92bee8711fd67ebb60b78f082d35566802891b3dfe014240d86ebf2309d6,PA,4f6372581cb0cf8b4d2e1a5081108f52dc756223b40f94b8c16365b82dcf7a6e
51,REG-153,higher-education-act-readmission-requirements-for-,Higher Education Act: Readmission Requirements for Servicemembers,federal,Admissions,t,3,067365d626c78486bd8ba85678ca3e724cd7c9358625448c13424f41adaf772c,,
55,REG-017,equity-in-athletics-disclosure-act-eada,Equity in Athletics Disclosure Act (EADA),federal,Uncategorized,t,4,362bd09a5ea90a0ac6b4af82d62b2005833cbb52b37f93331deb8943a1af5416,,ff182712413e20be597e29b1cd25ef9384a17677bb6f0167cfd6a1244dfedafa
