1|REG-237|Age Discrimination Act of 1975|5|1|0|0|3
2|REG-020|Americans with Disabilities Act of 1990|50|0|0|0|4
3|REG-214|Higher Education Act: Institutional and Financial Assistance Information for Students|7|0|2|0|0
4|REG-251|Higher Education Act: Textbook Information|4|0|2|0|0
5|REG-138|Higher Education Opportunity Act Sections 152 and 153|6|0|2|0|0
6|REG-018|Section 504 of The Rehabilitation Act of 1973|35|0|0|0|0
7|REG-002|Title IX of the Education Amendments of 1972|81|0|5|4|0
8|REG-009|Title VI of the Civil Rights Act of 1964|31|0|1|0|0
9|REG-001|Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act|50|0|0|1|5
10|REG-149|Bankruptcy Abuse Prevention & Consumer Protection Act of 2005|9|0|0|0|0
11|REG-150|Clayton Antitrust Act of 1914|9|0|3|0|0
12|REG-210|Fair Credit Reporting Act (FCRA)|8|0|0|0|0
13|REG-175|Federal Insurance Contributions Act (FICA)|7|0|0|0|0
14|REG-151|Federal Unemployment Tax Act (FUTA)|9|0|0|0|0
15|REG-152|Higher Education Act – Disclosure of Foreign Gifts|8|1|3|0|1
16|REG-192|Qualified Tuition and Student Loan Interest Reporting|8|0|1|0|0
17|REG-155|Regulation E: Electronic Fund Transfers|9|0|0|0|0
18|REG-156|Sarbanes Oxley Act of 2002 (SOX)|9|0|0|0|0
19|REG-157|Sherman Antitrust Act|9|0|3|0|0
20|REG-158|Social Security Act|9|0|0|0|0
21|REG-160|Tax Cuts and Jobs Act of 2017 (endowment excise tax)|9|0|0|0|0
22|REG-161|Truth in Lending Act|9|0|0|0|0
23|REG-162|Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance, Super Circular, or Omni Circular)|8|0|0|0|0
24|REG-163|Unrelated Business Income Tax (UBIT)|8|0|0|0|0
26|REG-012|Higher Education Act: Recognition of Accrediting Agency or Association|3|0|2|0|0
29|REG-153|Higher Education Act: Readmission Requirements for Servicemembers|7|0|2|0|0
33|REG-017|Equity in Athletics Disclosure Act (EADA)|30|2|0|0|0
36|REG-250|Higher Education Act: Textbook Informatoin|0|0|0|0|0
37|REG-199|Anti-Kickback Act of 1986|7|0|0|0|0
38|REG-200|Anti-discrimination laws for federal contractors|7|0|0|0|0
39|REG-166|Byrd Amendment|8|0|1|0|0
40|REG-202|Copeland Anti-Kickback Act|6|0|0|0|0
41|REG-205|Davis-Bacon Act|7|0|0|0|0
